date,home_team,score,away_team
15-12-2021,Arsenal,? - ?,West Ham
14-08-2021,Leicester,1 - 0,Wolves
22-08-2021,Wolves,0 - 1,Tottenham
29-08-2021,Wolves,0 - 1,Man United
11-09-2021,Watford,0 - 2,Wolves
18-09-2021,Wolves,0 - 2,Brentford
26-09-2021,Southampton,0 - 1,Wolves
02-10-2021,Wolves,2 - 1,Newcastle
16-10-2021,Aston Villa,2 - 3,Wolves
23-10-2021,Leeds,1 - 1,Wolves
01-11-2021,Wolves,2 - 1,Everton
06-11-2021,Crystal Palace,2 - 0,Wolves
20-11-2021,Wolves,1 - 0,West Ham
27-11-2021,Norwich,0 - 0,Wolves
01-12-2021,Wolves,0 - 0,Burnley
04-12-2021,Wolves,0 - 1,Liverpool
11-12-2021,Man City,1 - 0,Wolves
15-12-2021,Brighton,? - ?,Wolves
